doc_id,top_cluster,top_score
11007,37,0.6944497891523614
6320,37,0.6943896541280156
13154,29,0.6943228590255502
10945,37,0.6941517413520204
8765,7,0.6940878795329499
10249,8,0.6939146528754574
7279,13,0.6937085196271021
4255,7,0.6936913877002756
7614,13,0.6933950970307639
309,34,0.6932873806398614
1988,39,0.6930976188741321
11495,35,0.6927885799296343
6514,35,0.6925566314329352
8474,11,0.6925543665697727
9485,23,0.6923818863922038
6258,13,0.6923708909715632
8312,39,0.6923560532788304
6370,13,0.6923043133137974
10225,37,0.6920964518452678
11406,21,0.6918717017447896
2461,3,0.691556385294653
8711,26,0.691255179349348
72,34,0.6910922243427232
2074,1,0.6910127133672963
12648,17,0.6908932322191891
1954,12,0.6908780901260294
3855,11,0.6907981486771302
3255,33,0.6907590300812835
10588,29,0.6907094832865213
7242,13,0.6906020657406237
2714,26,0.6904094932299203
9040,13,0.6902596420377133
10623,7,0.6900232576756826
7729,21,0.6899799142442238
2313,33,0.6895962969251418
9544,21,0.6894483798242386
10167,37,0.6893423782358509
12940,34,0.6892211105851086
8297,39,0.6890158694869255
11493,11,0.6889430178631472
1203,33,0.6887987861267915
2178,25,0.6887832846342472
7237,39,0.6885825575947616
8894,34,0.688459418242497
262,8,0.6881055838718193
5468,32,0.6878080641100441
1540,32,0.6875536253554725
10977,29,0.6875047092971763
7801,13,0.6873975723452874
5553,33,0.6872786021461079
10076,29,0.6871299784748469
12481,17,0.6869903824865161
4688,33,0.6866031874156564
586,39,0.6865627125699494
755,27,0.686045384648441
8099,7,0.6858413700525233
7500,34,0.6855835943344293
7529,31,0.6855099426648299
3242,6,0.6854331685483962
6675,7,0.6850838268720134
10577,6,0.685028751573628
8786,27,0.6849817074263885
8072,32,0.6848916394456817
8414,33,0.6848396409458986
6618,17,0.6848226877342222
1636,7,0.6847363146641083
261,7,0.6847168749808298
7327,13,0.684675890339626
4035,30,0.6845141836761898
1274,11,0.6844354301071083
8153,35,0.6844233344575918
7330,13,0.6843876646671645
2629,25,0.6842288359766421
10007,3,0.6840946891709435
7943,34,0.6840346621208836
9633,34,0.683857556336424
7565,21,0.6837481801920475
9646,34,0.6837136790025939
4360,33,0.6835906353586108
11764,21,0.6834111333023373
12070,31,0.6828921082894319
12188,17,0.6828839442812663
3834,33,0.6825425175997663
164,13,0.6825224838438355
10292,29,0.6824761567083426
6187,3,0.6823507629545239
2302,24,0.6823181950330773
7380,31,0.6820666589515946
10155,35,0.682049804286171
13097,13,0.681529938401082
7384,21,0.6813664867695518
2683,33,0.6813087627560499
5154,33,0.6811960469799175
2245,25,0.6810538009790987
8650,13,0.6810025543839912
1567,21,0.680849645711644
6630,7,0.6808380996215556
291,35,0.6802904103270578
3094,7,0.6801963350433715
6476,7,0.6798379324580068
2152,33,0.6797258665977403
4417,33,0.6796527833475055
12301,31,0.6796120240735308
5418,7,0.6792004101905735
11122,39,0.6790384626515263
17,34,0.679016181818306
10603,22,0.6790075718734042
11006,22,0.6789441502705335
11014,39,0.6788769078806235
10322,37,0.6786368216146716
6784,7,0.6785684854600729
13194,12,0.6781694352628888
10183,32,0.6781488092036579
12777,34,0.6781193150189921
11599,38,0.6781162491702902
5079,33,0.6780325639940704
9283,27,0.6779650168580659
10404,7,0.6778444278088731
1714,32,0.6778301392511716
7690,21,0.6775827677215583
13003,17,0.677406141605616
5026,11,0.677168679604501
4243,32,0.6771530408978239
3923,33,0.6771211403232068
726,7,0.6770126112731059
10824,12,0.6769935304378321
4288,33,0.6769895420790722
12184,17,0.6769629711356548
3539,7,0.6769139196947219
10779,39,0.6765944670350823
8498,13,0.6765447422770442
9163,13,0.6762620688603131
10395,13,0.676198362876099
6144,30,0.6760606756696131
8824,34,0.6760347882194366
468,33,0.6758168666625755
2065,7,0.6758029777765797
2163,17,0.6755931967755255
3643,25,0.6753172779716863
4562,7,0.6752929451853199
5583,33,0.6752865795164479
10365,37,0.6751615974601936
8681,23,0.6751207547696537
10238,29,0.675049543744198
5957,11,0.6750276856269679
3919,19,0.6749704331513531
12545,17,0.6747581654938447
9167,13,0.6746493735428899
10963,37,0.6738947043100212
1310,32,0.673803748014175
5294,19,0.6737168370087511
10205,13,0.6735507955752902
8081,39,0.673493777261844
579,33,0.6732039636212411
6848,7,0.6730414092875631
4221,11,0.6730307410648235
